,adresse_code_voie,code_postal,code_commune,code_departement,valeur_fonciere,surface_reelle_bati,surface_terrain,type_local,nombre_pieces_principales,latitude,longitude
3465583,6603,75001.0,75101,75,8750000.0,270.0,277.0,Local industriel. commercial ou assimilé,0.0,48.866791,2.335363
2884806,6904,75001.0,75101,75,101460000.0,33.0,1511.0,Appartement,1.0,48.864683,2.334526
3261233,8212,75001.0,75101,75,4200000.0,60.0,98.0,Appartement,2.0,48.866471,2.337464
2407126,8249,75001.0,75101,75,25500000.0,18.0,332.0,Appartement,1.0,48.859417,2.346312
3465121,4901,75001.0,75101,75,7800000.0,33.0,424.0,Appartement,1.0,48.862538,2.341073
3468387,8635,75001.0,75101,75,72000000.0,90.0,1234.0,Local industriel. commercial ou assimilé,0.0,48.865305,2.330341
2406662,6513,75001.0,75101,75,2000000.0,22.0,99.0,Appartement,2.0,48.864135,2.345687
3469256,6904,75001.0,75101,75,150578688.0,95.0,1630.0,Appartement,3.0,48.86649,2.333583
2407904,8212,75001.0,75101,75,9834797.0,53.0,98.0,Appartement,1.0,48.866471,2.337464
2406660,6513,75001.0,75101,75,2000000.0,216.0,99.0,Local industriel. commercial ou assimilé,0.0,48.864135,2.345687
2409061,1603,75001.0,75101,75,98400000.0,100.0,1057.0,Appartement,4.0,48.866222,2.328711
2884799,6904,75001.0,75101,75,101460000.0,30.0,1511.0,Appartement,2.0,48.864683,2.334526
3319698,8249,75001.0,75101,75,18900000.0,109.0,480.0,Local industriel. commercial ou assimilé,0.0,48.863112,2.334827
3320916,4905,75001.0,75101,75,30500000.0,1801.0,385.0,Local industriel. commercial ou assimilé,0.0,48.858502,2.347001
2884835,6904,75001.0,75101,75,101460000.0,53.0,1511.0,Appartement,2.0,48.864683,2.334526
3468584,6912,75001.0,75101,75,7740000.0,72.0,144.0,Appartement,3.0,48.861584,2.340403
2938928,1432,75002.0,75102,75,4800000.0,157.0,207.0,Local industriel. commercial ou assimilé,0.0,48.868017,2.34946
3328403,7930,75002.0,75102,75,13050000.0,79.0,169.0,Local industriel. commercial ou assimilé,0.0,48.869447,2.336562
3328571,3392,75002.0,75102,75,12600000.0,128.0,367.0,Appartement,5.0,48.865305,2.343793
3382653,4758,75002.0,75102,75,14200000.0,80.0,204.0,Local industriel. commercial ou assimilé,0.0,48.871329,2.337492
3532745,3055,75002.0,75102,75,14000000.0,68.0,854.0,Appartement,3.0,48.866276,2.349698
3327513,1430,75002.0,75102,75,1500000.0,131.0,71.0,Local industriel. commercial ou assimilé,0.0,48.868135,2.349409
3531091,7560,75002.0,75102,75,7000000.0,6443.0,1948.0,Local industriel. commercial ou assimilé,0.0,48.870421,2.347457
3532679,8212,75002.0,75102,75,82000000.0,57.0,1760.0,Appartement,2.0,48.870244,2.339883
3532681,8212,75002.0,75102,75,82000000.0,462.0,1760.0,Local industriel. commercial ou assimilé,0.0,48.870244,2.339883
3532892,2591,75002.0,75102,75,16500000.0,164.0,256.0,Local industriel. commercial ou assimilé,0.0,48.86918,2.332028
3532675,8212,75002.0,75102,75,82000000.0,25.0,1760.0,Appartement,1.0,48.870244,2.339883
2938850,2219,75002.0,75102,75,53000.0,103.0,316.0,Appartement,4.0,48.869683,2.339638
2458175,4758,75002.0,75102,75,36895000.0,80.0,204.0,Local industriel. commercial ou assimilé,0.0,48.871329,2.337492
2458930,8686,75002.0,75102,75,17900000.0,92.0,308.0,Local industriel. commercial ou assimilé,0.0,48.870736,2.338951
