,valeur_fonciere,adresse_code_voie,code_postal,code_commune,code_departement,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
1794303,247000.0,0631,77680.0,77390,77,Dépendance,,0.0,,2.664408,48.792572
1794304,247000.0,0631,77680.0,77390,77,Dépendance,,0.0,,2.664408,48.792572
1794305,247000.0,0631,77680.0,77390,77,Appartement,104.0,5.0,,2.664408,48.792572
1794306,205000.0,0770,77340.0,77373,77,Appartement,54.0,2.0,,2.59746,48.777646
1794307,205000.0,0770,77340.0,77373,77,Dépendance,,0.0,,2.59746,48.777646
1794308,257000.0,0220,77170.0,77450,77,Maison,107.0,5.0,,2.597799,48.71517
1794309,320500.0,1170,77380.0,77122,77,Maison,85.0,5.0,347.0,2.581557,48.659299
1794310,146000.0,0540,77170.0,77053,77,Appartement,39.0,2.0,,2.619502,48.686502
1794311,146000.0,0540,77170.0,77053,77,Dépendance,,0.0,,2.619502,48.686502
1794312,386700.0,0003,77170.0,77053,77,Maison,129.0,6.0,507.0,2.621554,48.690149
1794313,364362.0,0004,77930.0,77359,77,Maison,120.0,5.0,1381.0,2.557359,48.472603
1794314,217000.0,0181,77720.0,77010,77,Maison,99.0,6.0,240.0,2.939084,48.601957
1794315,217000.0,0181,77720.0,77010,77,Maison,99.0,6.0,884.0,2.939084,48.601957
1794316,9650.0,B019,77930.0,77069,77,,,,6840.0,2.618993,48.468331
1794317,349000.0,0448,77310.0,77040,77,Maison,122.0,4.0,854.0,2.572112,48.522839
1794318,256370.0,0561,77930.0,77359,77,,,,152.0,2.547865,48.482118
1794319,256370.0,0561,77930.0,77359,77,Maison,76.0,4.0,311.0,2.548204,48.482051
1794320,297500.0,0880,77220.0,77215,77,,,,3.0,2.714038,48.738451
1794321,297500.0,0880,77220.0,77215,77,Maison,93.0,3.0,503.0,2.714249,48.738436
1794322,285000.0,0220,77390.0,77138,77,Maison,139.0,7.0,321.0,2.902333,48.654755
1794323,285000.0,B030,77390.0,77138,77,,,,297.0,2.902569,48.65465
1794324,285000.0,B030,77390.0,77138,77,,,,121.0,2.902508,48.655064
1794325,285000.0,B030,77390.0,77138,77,,,,680.0,2.902469,48.654858
1794326,1590000.0,0380,77630.0,77022,77,Maison,450.0,6.0,4714.0,2.619744,48.445973
1794327,1590000.0,B018,77630.0,77022,77,,,,4870.0,2.618972,48.447204
1794328,1590000.0,0380,77630.0,77022,77,,,,101.0,2.618352,48.447747
1794329,315000.0,B007,77370.0,77191,77,,,,656.0,2.959595,48.54696
